Timestamp,Marketplace,Keyword,ASINs_Found
2025-09-04 02:00:04,US,nike,50
2025-09-04 10:48:10,JP,iphone17,175
2025-09-04 10:49:12,AU,iphone17,238
2025-09-04 10:50:13,SG,iphone17,175
2025-09-04 10:51:02,TR,iphone17,243
2025-09-04 10:51:33,BR,iphone17,133
2025-09-05 10:19:16,US,iPhone17,313
2025-09-05 19:34:41,US,Nike Swoosh,323
2025-09-05 19:38:12,US,nike,374
2025-09-05 19:39:05,US,nike socks,326
2025-09-05 19:40:02,CA,nike,268
2025-09-05 19:42:14,US,nike,50
2025-09-05 19:43:23,US,nike,50
2025-09-05 19:45:38,IN,tw bluetooth watch,200
2025-09-05 22:23:15,US,nike,234
2025-09-05 22:24:37,US,nike,367
2025-09-05 22:24:56,US,nike,376
